Merk,Model,Cilinderinhoud (cc),Bouwjaar,Brandstof,Kilometerstand,Vermogen (kW),Vermogen (pk)
Ferrari,488,3400,01/2001,diesel,126507,161,216
Fiat,Punto,2100,07/2016,lpg,19645,338,453
Mercedes-Benz,GLC,1200,02/2001,lpg,135625,341,457
Porsche,Panamera,1900,12/2006,lpg,142404,101,135
BMW,X1,2800,04/2021,benzine,-1,352,472
Tesla,Model 3,1800,03/2022,lpg,50187,59,79
Ferrari,Rumplumplum,2800,02/1998,elektrisch,97885,204,274
Renault,Zoe,1700,11/1990,benzine,34261,304,408
Renault,Zoe,2700,03/2003,diesel,150392,107,143
Hyundai,Elantra,1700,02/2019,diesel,118286,331,444
Chevrolet,Malibu,1700,09/2024,benzine,1000010,53,71
Renault,Clio,3500,09/1994,benzine,116194,364,488
Porsche,Panamera,1500,01/2005,benzine,-1,204,274
Porsche,Macan,2500,11/2012,elektrisch,59761,115,154
Nissan,Pathfinder,3000,11/2017,lpg,200107,77,103
Lamborghini,Aventador,3400,01/1996,benzine,239494,218,292
Lamborghini,Aventador,2600,09/1997,diesel,249267,95,127
Toyota,Hilux,3400,09/2017,lpg,119036,187,251
Jeep,Cherokee,1200,12/1991,lpg,48344,389,522
Chevrolet,Corvette,2800,02/2006,benzine,265249,344,461
Jeep,Patriot,2600,07/2001,elektrisch,271842,240,322
Nissan,Sentra,1800,07/2022,benzine,257051,387,519
Porsche,718 Boxster,1800,06/2010,elektrisch,73767,53,71
Honda,Fit,1600,04/1997,benzine,264182,265,355
Tesla,Cybertruck,2700,03/2002,elektrisch,197613,385,516
Nissan,Armada,3200,04/2006,diesel,22616,329,441
Toyota,Hilux,1000,11/2007,elektrisch,22603,287,385
Mazda,RX-8,1100,11/2011,lpg,191390,295,396
Renault,Captur,2500,07/1947,elektrisch,266335,115,154
Audi,TT,2100,11/2004,diesel,157464,99,133
Ferrari,SF90 Stradale,1600,01/2021,elektrisch,178494,330,443
Hyundai,Sonata,2500,04/2019,lpg,83138,255,342
Hyundai,Ioniq,2800,07/2015,lpg,111410,357,479
Chevrolet,Corvette,1000,07/2002,benzine,214158,118,158
Mazda,CX-5,1600,12/2004,elektrisch,72018,337,452
Chevrolet,Trailblazer,1200,11/2006,lpg,223666,44,59
Lamborghini,Huracan,2200,12/2019,biodiesel,24589,159,213
Mitsubishi,Eclipse Cross,3300,06/2020,benzine,33200,375,503
Fiat,Fiorino,2900,08/1992,diesel,173796,298,400
Hyundai,Santa Fe,1900,05/1999,lpg,39629,229,307
Hyundai,Kona,1400,08/2009,diesel,34936,141,189
Alfa Romeo,4C,2200,09/2008,benzine,144547,103,138
Fiat,500,3500,08/2021,benzine,271705,354,475
Kia,Carnival,2100,02/2009,elektrisch,140006,392,526
Mazda,Mazda6,2300,07/2001,diesel,145058,371,498
oiat,Tipo,2000,10/1992,benzine,165076,86,115
Kia,Stinger,2000,02/1997,lpg,200171,56,75
Mitsubishi,Triton,1200,06/2007,diesel,152456,135,181
Fiat,Tipo,1400,10/1991,diesel,95416,164,220
Kia,Carnival,2500,10/2024,elektrisch,62894,118,158
Alfa Romeo,Giulietta,3200,01/2017,benzine,236201,276,370
Nissan,Murano,3000,11/1990,benzine,171600,257,345
Lamborghini,Aventador,4800,02/2005,diesel,46126,375,503
Volvo,V60,1000,05/2022,benzine,216671,90,121
Volvo,C40,2700,07/2011,diesel,241705,96,129
Jeep,Compass,1500,11/1995,elektrisch,62058,140,188
Ford,Ranger,3100,12/2023,lpg,161865,85,114
Fiat,500,2800,11/2012,elektrisch,91359,351,471
Renault,Megane,2900,12/2023,diesel,102254,252,338
Alfa Romeo,Spider,2600,09/1997,benzine,202802,99,133
Mazda,CX-5,2800,11/2021,benzine,232357,379,508
Nissan,Versa,2100,01/2015,benzine,144498,332,445
Mazda,Mazda6,3000,10/2017,diesel,176817,105,141
Renault,Kadjar,3200,12/2021,elektrisch,79748,169,227
Chevrolet,Rumplumplum,2500,06/2023,diesel,50878,187,251
Nissan,Altima,1700,07/1998,diesel,70913,67,90
Alfa Romeo,Spider,2300,03/1994,benzine,91987,216,290
Honda,HR-V,1900,03/2015,benzine,162355,400,536
Fiat,Doblo,1800,07/1992,benzine,96311,206,276
Subaru,Crosstrek,3400,04/2022,elektrisch,279539,330,443
Alfa Romeo,4C,2900,03/1995,elektrisch,154024,370,496
Nissan,Sentra,2800,07/2023,lpg,107731,208,279
Mazda,Rumplumplum,1300,05/2004,elektrisch,41122,142,190
Mitsubishi,Outlander,2500,01/2011,benzine,140568,339,455
Lamborghini,Veneno,3500,04/2013,diesel,268246,245,329
Tesla,Model S,2400,01/1999,benzine,159573,305,409
Mitsubishi,ASX,2200,06/2011,lpg,294864,77,103
Tesla,Model 3,2300,04/1994,lpg,46147,189,253
Renault,Captur,1300,06/2000,diesel,30758,210,282
Audi,Q8,1200,05/1944,lpg,36416,185,248
Porsche,Cayenne,1100,08/2023,elektrisch,13646,244,327
Mercedes-Benz,GLC,1700,12/1998,diesel,190968,80,107
BMW,X5,3100,04/2000,diesel,168897,186,249
Jeep,Wrangler,2300,08/1990,elektrisch,281806,365,489
Fiat,Panda,3400,06/1999,benzine,136060,238,319
Mazda,CX-30,2400,01/2022,lpg,35315,57,76
Audi,TT,2800,10/2002,biodiesel,256040,300,402
Ford,Bronco,1100,10/2019,benzine,160207,129,173
Mitsubishi,Pajero,1900,08/2013,lpg,79243,295,396
Renault,Kadjar,2900,08/2017,diesel,14769,360,483
Volvo,V60,1800,05/1990,diesel,37543,78,105
Jeep,Gladiator,1300,11/2017,diesel,97818,127,170
Subaru,Outback,3000,02/1982,lpg,226486,375,503
Honda,Passport,2500,10/2013,benzine,296771,128,172
Tesla,Cybertruck,1300,04/2001,diesel,162401,109,146
BMW,X5,3100,05/2021,elektrisch,73302,228,306
Porsche,718 Boxster,3100,05/2017,biodiesel,141168,287,385
Fiat,Punto,1700,12/2007,lpg,48418,200,268
Volvo,V90,1400,06/2014,diesel,75591,340,456
Volkswagen,Golf,2000,01/2010,lpg,79357,151,202
Volvo,Rumplumplum,1300,02/2011,elektrisch,272290,364,488
Kia,Sorento,3100,03/1992,elektrisch,144660,350,469
BMW,i8,3400,07/1994,elektrisch,112986,110,148
Kia,Rio,2600,04/2018,diesel,-1,371,498
Chevrolet,Impala,1900,09/1995,diesel,229772,120,161
BMW,X7,2600,11/2017,diesel,97100,125,168
Lamborghini,Gallardo,3500,08/1991,diesel,256592,139,186
Nissan,Rogue,2000,02/2001,lpg,211529,294,394
Kia,Telluride,3100,04/2008,diesel,155050,179,240
Chegrolet,Impala,2500,02/1990,diesel,164358,336,451
Alfa Romeo,Stelvio,2200,10/1997,diesel,7380,116,156
Audi,A6,3100,04/1998,diesel,256120,40,54
Peugeot,5008,3300,09/2007,elektrisch,185333,377,506
BMW,X5,2300,09/2007,elektrisch,279323,228,306
Ford,Explorer,3200,11/2020,elektrisch,7769,202,271
Mitsubishi,Lancer,1300,07/2020,diesel,58475,352,472
Tesla,Model 3,1200,05/2007,benzine,66891,190,255
Lamborghini,Veneno,2400,02/2006,biodiesel,216534,372,499
Ford,Mustang,2400,04/2009,diesel,247143,56,75
Volkswagen,Golf,3100,09/2016,benzine,144083,299,401
Mitsubishi,Pajero,1800,11/1991,lpg,-1,156,209
Tesla,Model X,3400,05/1995,elektrisch,1000010,101,135
Ford,F-150,2000,05/2012,diesel,283789,373,500
Mitsubishi,Pajero,2200,07/2024,elektrisch,90548,374,502
Porsche,718 Cayman,2800,10/2019,elektrisch,86855,386,518
Hyundai,Veloster,1700,08/1994,diesel,103083,223,299
Chevrolet,Camaro,2400,06/2016,elektrisch,161223,394,528
Ferrari,Roma,1200,10/1998,elektrisch,209480,346,464
Kia,Niro,2600,11/1965,benzine,161704,223,299
Toyota,Hilux,1600,06/2017,lpg,1000010,210,282
Mitsubishi,Pajero,3200,04/1999,diesel,176491,56,75
Nissan,Leaf,3300,03/2000,diesel,249407,133,178
Volvo,V90,2400,11/1991,diesel,226463,166,223
Jeep,Renegade,1500,05/2012,benzine,194918,208,279
Lamborghini,Gallardo,3600,07/2014,diesel,184661,93,125
Nissan,Versa,2900,01/2007,biodiesel,261886,67,90
Jeep,Grand Cherokee,1100,05/2022,benzine,274111,230,308
Tesla,Model 3,2500,01/1991,benzine,95386,138,185
Mazda,MX-5 Miata,2700,04/1993,elektrisch,176314,87,117
Chevrolet,Impala,3200,11/2001,diesel,93342,206,276
Fiat,Punto,2500,08/1999,lpg,271012,391,524
Kia,Rio,1000,12/1994,benzine,114229,99,133
Nissan,370Z,2300,02/1999,diesel,1000010,384,515
Honda,Fit,2400,12/2007,elektrisch,1000010,101,135
Nissan,Pathfinder,3100,10/2020,lpg,135565,319,428
Volvo,S60,3300,07/1992,diesel,104403,284,381
Chevrolet,Impala,4800,01/1994,elektrisch,17895,165,221
Jeep,Wrangler,3300,12/2017,biodiesel,90185,289,388
Fiat,Panda,1300,08/2021,elektrisch,197602,49,66
Alfa Romeo,Spider,3000,05/1992,diesel,168053,130,174
Volvo,XC40,3200,04/1994,benzine,230470,54,72
Ferrari,F8 Tributo,3300,09/2014,lpg,1000010,257,345
Mitsubishi,Outlander,1500,04/2007,diesel,231057,338,453
Lamborghini,Huracan,3200,02/1996,diesel,152250,107,143
Fiat,124 Spider,1800,11/2011,benzine,291024,234,314
